state,element left,element right,element up,element down
965,lilypad,car,lilypad,out-bounds
966,lilypad,car,out-bounds,empty
967,lilypad,car,out-bounds,water
968,lilypad,car,out-bounds,car
969,lilypad,car,out-bounds,log
970,lilypad,car,out-bounds,lilypad
971,lilypad,car,out-bounds,out-bounds
972,lilypad,log,empty,empty
973,lilypad,log,empty,water
974,lilypad,log,empty,car
975,lilypad,log,empty,log
976,lilypad,log,empty,lilypad
977,lilypad,log,empty,out-bounds
978,lilypad,log,water,empty
979,lilypad,log,water,water
980,lilypad,log,water,car
981,lilypad,log,water,log
982,lilypad,log,water,lilypad
983,lilypad,log,water,out-bounds
984,lilypad,log,car,empty
985,lilypad,log,car,water
986,lilypad,log,car,car
987,lilypad,log,car,log
988,lilypad,log,car,lilypad
989,lilypad,log,car,out-bounds
990,lilypad,log,log,empty
991,lilypad,log,log,water
992,lilypad,log,log,car
993,lilypad,log,log,log
994,lilypad,log,log,lilypad
995,lilypad,log,log,out-bounds
996,lilypad,log,lilypad,empty
997,lilypad,log,lilypad,water
998,lilypad,log,lilypad,car
999,lilypad,log,lilypad,log
1000,lilypad,log,lilypad,lilypad
1001,lilypad,log,lilypad,out-bounds
1002,lilypad,log,out-bounds,empty
1003,lilypad,log,out-bounds,water
1004,lilypad,log,out-bounds,car
1005,lilypad,log,out-bounds,log
1006,lilypad,log,out-bounds,lilypad
1007,lilypad,log,out-bounds,out-bounds
1008,lilypad,lilypad,empty,empty
1009,lilypad,lilypad,empty,water
1010,lilypad,lilypad,empty,car
1011,lilypad,lilypad,empty,log
1012,lilypad,lilypad,empty,lilypad
1013,lilypad,lilypad,empty,out-bounds
1014,lilypad,lilypad,water,empty
1015,lilypad,lilypad,water,water
1016,lilypad,lilypad,water,car
1017,lilypad,lilypad,water,log
1018,lilypad,lilypad,water,lilypad
1019,lilypad,lilypad,water,out-bounds
1020,lilypad,lilypad,car,empty
1021,lilypad,lilypad,car,water
1022,lilypad,lilypad,car,car
1023,lilypad,lilypad,car,log
1024,lilypad,lilypad,car,lilypad
1025,lilypad,lilypad,car,out-bounds
1026,lilypad,lilypad,log,empty
1027,lilypad,lilypad,log,water
1028,lilypad,lilypad,log,car
1029,lilypad,lilypad,log,log
1030,lilypad,lilypad,log,lilypad
1031,lilypad,lilypad,log,out-bounds
1032,lilypad,lilypad,lilypad,empty
1033,lilypad,lilypad,lilypad,water
1034,lilypad,lilypad,lilypad,car
1035,lilypad,lilypad,lilypad,log
1036,lilypad,lilypad,lilypad,lilypad
1037,lilypad,lilypad,lilypad,out-bounds
1038,lilypad,lilypad,out-bounds,empty
1039,lilypad,lilypad,out-bounds,water
1040,lilypad,lilypad,out-bounds,car
1041,lilypad,lilypad,out-bounds,log
1042,lilypad,lilypad,out-bounds,lilypad
1043,lilypad,lilypad,out-bounds,out-bounds
1044,lilypad,out-bounds,empty,empty
1045,lilypad,out-bounds,empty,water
1046,lilypad,out-bounds,empty,car
1047,lilypad,out-bounds,empty,log
1048,lilypad,out-bounds,empty,lilypad
1049,lilypad,out-bounds,empty,out-bounds
1050,lilypad,out-bounds,water,empty
1051,lilypad,out-bounds,water,water
1052,lilypad,out-bounds,water,car
1053,lilypad,out-bounds,water,log
1054,lilypad,out-bounds,water,lilypad
1055,lilypad,out-bounds,water,out-bounds
1056,lilypad,out-bounds,car,empty
1057,lilypad,out-bounds,car,water
1058,lilypad,out-bounds,car,car
1059,lilypad,out-bounds,car,log
1060,lilypad,out-bounds,car,lilypad
1061,lilypad,out-bounds,car,out-bounds
1062,lilypad,out-bounds,log,empty
1063,lilypad,out-bounds,log,water
1064,lilypad,out-bounds,log,car
1065,lilypad,out-bounds,log,log
1066,lilypad,out-bounds,log,lilypad
1067,lilypad,out-bounds,log,out-bounds
1068,lilypad,out-bounds,lilypad,empty
1069,lilypad,out-bounds,lilypad,water
1070,lilypad,out-bounds,lilypad,car
1071,lilypad,out-bounds,lilypad,log
1072,lilypad,out-bounds,lilypad,lilypad
1073,lilypad,out-bounds,lilypad,out-bounds
1074,lilypad,out-bounds,out-bounds,empty
1075,lilypad,out-bounds,out-bounds,water
1076,lilypad,out-bounds,out-bounds,car
1077,lilypad,out-bounds,out-bounds,log
1078,lilypad,out-bounds,out-bounds,lilypad
1079,lilypad,out-bounds,out-bounds,out-bounds
1080,out-bounds,empty,empty,empty
1081,out-bounds,empty,empty,water
1082,out-bounds,empty,empty,car
1083,out-bounds,empty,empty,log
1084,out-bounds,empty,empty,lilypad
1085,out-bounds,empty,empty,out-bounds
1086,out-bounds,empty,water,empty
1087,out-bounds,empty,water,water
1088,out-bounds,empty,water,car
1089,out-bounds,empty,water,log
1090,out-bounds,empty,water,lilypad
1091,out-bounds,empty,water,out-bounds
1092,out-bounds,empty,car,empty
1093,out-bounds,empty,car,water
1094,out-bounds,empty,car,car
1095,out-bounds,empty,car,log
1096,out-bounds,empty,car,lilypad
1097,out-bounds,empty,car,out-bounds
1098,out-bounds,empty,log,empty
1099,out-bounds,empty,log,water
1100,out-bounds,empty,log,car
1101,out-bounds,empty,log,log
1102,out-bounds,empty,log,lilypad
1103,out-bounds,empty,log,out-bounds
1104,out-bounds,empty,lilypad,empty
1105,out-bounds,empty,lilypad,water
1106,out-bounds,empty,lilypad,car
1107,out-bounds,empty,lilypad,log
1108,out-bounds,empty,lilypad,lilypad
1109,out-bounds,empty,lilypad,out-bounds
1110,out-bounds,empty,out-bounds,empty
1111,out-bounds,empty,out-bounds,water
1112,out-bounds,empty,out-bounds,car
1113,out-bounds,empty,out-bounds,log
1114,out-bounds,empty,out-bounds,lilypad
1115,out-bounds,empty,out-bounds,out-bounds
1116,out-bounds,water,empty,empty
1117,out-bounds,water,empty,water
1118,out-bounds,water,empty,car
1119,out-bounds,water,empty,log
1120,out-bounds,water,empty,lilypad
1121,out-bounds,water,empty,out-bounds
1122,out-bounds,water,water,empty
1123,out-bounds,water,water,water
1124,out-bounds,water,water,car
1125,out-bounds,water,water,log
1126,out-bounds,water,water,lilypad
1127,out-bounds,water,water,out-bounds
1128,out-bounds,water,car,empty
1129,out-bounds,water,car,water
1130,out-bounds,water,car,car
1131,out-bounds,water,car,log
1132,out-bounds,water,car,lilypad
1133,out-bounds,water,car,out-bounds
1134,out-bounds,water,log,empty
1135,out-bounds,water,log,water
1136,out-bounds,water,log,car
1137,out-bounds,water,log,log
1138,out-bounds,water,log,lilypad
1139,out-bounds,water,log,out-bounds
1140,out-bounds,water,lilypad,empty
1141,out-bounds,water,lilypad,water
1142,out-bounds,water,lilypad,car
1143,out-bounds,water,lilypad,log
1144,out-bounds,water,lilypad,lilypad
1145,out-bounds,water,lilypad,out-bounds
1146,out-bounds,water,out-bounds,empty
1147,out-bounds,water,out-bounds,water
1148,out-bounds,water,out-bounds,car
1149,out-bounds,water,out-bounds,log
1150,out-bounds,water,out-bounds,lilypad
1151,out-bounds,water,out-bounds,out-bounds
1152,out-bounds,car,empty,empty
1153,out-bounds,car,empty,water
1154,out-bounds,car,empty,car
1155,out-bounds,car,empty,log
1156,out-bounds,car,empty,lilypad
1157,out-bounds,car,empty,out-bounds
1158,out-bounds,car,water,empty
1159,out-bounds,car,water,water
1160,out-bounds,car,water,car
1161,out-bounds,car,water,log
1162,out-bounds,car,water,lilypad
1163,out-bounds,car,water,out-bounds
1164,out-bounds,car,car,empty
1165,out-bounds,car,car,water
1166,out-bounds,car,car,car
1167,out-bounds,car,car,log
1168,out-bounds,car,car,lilypad
1169,out-bounds,car,car,out-bounds
1170,out-bounds,car,log,empty
1171,out-bounds,car,log,water
1172,out-bounds,car,log,car
1173,out-bounds,car,log,log
1174,out-bounds,car,log,lilypad
1175,out-bounds,car,log,out-bounds
1176,out-bounds,car,lilypad,empty
1177,out-bounds,car,lilypad,water
1178,out-bounds,car,lilypad,car
1179,out-bounds,car,lilypad,log
1180,out-bounds,car,lilypad,lilypad
1181,out-bounds,car,lilypad,out-bounds
1182,out-bounds,car,out-bounds,empty
1183,out-bounds,car,out-bounds,water
1184,out-bounds,car,out-bounds,car
1185,out-bounds,car,out-bounds,log
1186,out-bounds,car,out-bounds,lilypad
1187,out-bounds,car,out-bounds,out-bounds
1188,out-bounds,log,empty,empty
1189,out-bounds,log,empty,water
1190,out-bounds,log,empty,car
1191,out-bounds,log,empty,log
1192,out-bounds,log,empty,lilypad
1193,out-bounds,log,empty,out-bounds
1194,out-bounds,log,water,empty
1195,out-bounds,log,water,water
1196,out-bounds,log,water,car
1197,out-bounds,log,water,log
1198,out-bounds,log,water,lilypad
1199,out-bounds,log,water,out-bounds
1200,out-bounds,log,car,empty
1201,out-bounds,log,car,water
1202,out-bounds,log,car,car
1203,out-bounds,log,car,log
1204,out-bounds,log,car,lilypad
1205,out-bounds,log,car,out-bounds
1206,out-bounds,log,log,empty
1207,out-bounds,log,log,water
1208,out-bounds,log,log,car
1209,out-bounds,log,log,log
1210,out-bounds,log,log,lilypad
1211,out-bounds,log,log,out-bounds
1212,out-bounds,log,lilypad,empty
1213,out-bounds,log,lilypad,water
1214,out-bounds,log,lilypad,car
1215,out-bounds,log,lilypad,log
1216,out-bounds,log,lilypad,lilypad
1217,out-bounds,log,lilypad,out-bounds
1218,out-bounds,log,out-bounds,empty
1219,out-bounds,log,out-bounds,water
1220,out-bounds,log,out-bounds,car
1221,out-bounds,log,out-bounds,log
1222,out-bounds,log,out-bounds,lilypad
1223,out-bounds,log,out-bounds,out-bounds
1224,out-bounds,lilypad,empty,empty
1225,out-bounds,lilypad,empty,water
1226,out-bounds,lilypad,empty,car
1227,out-bounds,lilypad,empty,log
1228,out-bounds,lilypad,empty,lilypad
1229,out-bounds,lilypad,empty,out-bounds
1230,out-bounds,lilypad,water,empty
1231,out-bounds,lilypad,water,water
1232,out-bounds,lilypad,water,car
1233,out-bounds,lilypad,water,log
1234,out-bounds,lilypad,water,lilypad
1235,out-bounds,lilypad,water,out-bounds
1236,out-bounds,lilypad,car,empty
1237,out-bounds,lilypad,car,water
1238,out-bounds,lilypad,car,car
1239,out-bounds,lilypad,car,log
1240,out-bounds,lilypad,car,lilypad
1241,out-bounds,lilypad,car,out-bounds
1242,out-bounds,lilypad,log,empty
1243,out-bounds,lilypad,log,water
1244,out-bounds,lilypad,log,car
1245,out-bounds,lilypad,log,log
1246,out-bounds,lilypad,log,lilypad
1247,out-bounds,lilypad,log,out-bounds
1248,out-bounds,lilypad,lilypad,empty
1249,out-bounds,lilypad,lilypad,water
1250,out-bounds,lilypad,lilypad,car
1251,out-bounds,lilypad,lilypad,log
1252,out-bounds,lilypad,lilypad,lilypad
1253,out-bounds,lilypad,lilypad,out-bounds
1254,out-bounds,lilypad,out-bounds,empty
1255,out-bounds,lilypad,out-bounds,water
1256,out-bounds,lilypad,out-bounds,car
1257,out-bounds,lilypad,out-bounds,log
1258,out-bounds,lilypad,out-bounds,lilypad
1259,out-bounds,lilypad,out-bounds,out-bounds
1260,out-bounds,out-bounds,empty,empty
1261,out-bounds,out-bounds,empty,water
1262,out-bounds,out-bounds,empty,car
1263,out-bounds,out-bounds,empty,log
1264,out-bounds,out-bounds,empty,lilypad
1265,out-bounds,out-bounds,empty,out-bounds
1266,out-bounds,out-bounds,water,empty
1267,out-bounds,out-bounds,water,water
1268,out-bounds,out-bounds,water,car
1269,out-bounds,out-bounds,water,log
1270,out-bounds,out-bounds,water,lilypad
1271,out-bounds,out-bounds,water,out-bounds
1272,out-bounds,out-bounds,car,empty
1273,out-bounds,out-bounds,car,water
1274,out-bounds,out-bounds,car,car
1275,out-bounds,out-bounds,car,log
1276,out-bounds,out-bounds,car,lilypad
1277,out-bounds,out-bounds,car,out-bounds
1278,out-bounds,out-bounds,log,empty
1279,out-bounds,out-bounds,log,water
1280,out-bounds,out-bounds,log,car
1281,out-bounds,out-bounds,log,log
1282,out-bounds,out-bounds,log,lilypad
1283,out-bounds,out-bounds,log,out-bounds
1284,out-bounds,out-bounds,lilypad,empty
1285,out-bounds,out-bounds,lilypad,water
1286,out-bounds,out-bounds,lilypad,car
1287,out-bounds,out-bounds,lilypad,log
1288,out-bounds,out-bounds,lilypad,lilypad
1289,out-bounds,out-bounds,lilypad,out-bounds
1290,out-bounds,out-bounds,out-bounds,empty
1291,out-bounds,out-bounds,out-bounds,water
1292,out-bounds,out-bounds,out-bounds,car
1293,out-bounds,out-bounds,out-bounds,log
1294,out-bounds,out-bounds,out-bounds,lilypad
1295,out-bounds,out-bounds,out-bounds,out-bounds
