state,action,next-state,count
0,0,0,206
0,0,2,15
0,0,12,14
0,0,14,3
0,0,432,33
0,0,444,3
0,0,1080,17
0,0,1092,1
0,1,0,178
0,1,2,10
0,1,12,16
0,1,72,21
0,1,180,15
0,1,182,1
0,1,192,4
0,2,0,217
0,2,6,23
0,2,12,45
0,2,14,1
0,2,18,8
0,2,72,17
0,2,84,3
0,2,432,8
0,2,444,7
0,3,0,53
0,3,2,19
0,3,5,101
0,3,17,1
0,3,72,2
0,3,432,4
0,3,434,1
2,0,0,10
2,0,2,40
2,0,12,2
2,0,14,9
2,0,1080,1
2,0,1082,3
2,1,0,7
2,1,2,37
2,1,12,3
2,1,14,1
2,1,72,3
2,1,74,4
2,1,180,2
2,1,182,3
2,1,192,1
2,1,194,2
2,1,432,1
2,2,0,29
2,2,2,1
2,2,6,8
2,2,12,24
2,2,18,5
2,2,72,3
2,2,84,2
2,2,432,6
2,2,444,1
2,3,72,1
2,3,432,4
2,3,1295,12
5,0,5,153
5,0,17,41
5,0,1085,1
5,1,5,212
5,1,17,12
5,1,185,14
5,1,197,1
5,2,0,201
5,2,12,41
5,2,72,14
5,2,84,5
5,2,432,21
5,2,444,10
5,3,5,190
5,3,17,7
6,0,6,43
6,0,8,7
6,0,18,10
6,0,20,9
6,0,1086,1
6,1,6,29
6,1,8,1
6,1,18,1
6,1,186,4
6,2,1295,6
6,3,0,6
6,3,2,3
8,0,6,1
8,0,8,5
8,0,20,5
8,1,6,2
8,1,8,3
8,1,186,2
8,1,188,1
8,2,1295,2
8,3,432,2
8,3,1295,1
12,0,0,13
12,0,2,3
12,0,12,43
12,0,14,2
12,0,432,3
12,0,444,13
12,0,1080,1
12,0,1092,5
12,0,1295,2
12,1,0,36
12,1,2,4
12,1,12,70
12,1,14,7
12,1,72,4
12,1,84,9
12,1,180,7
12,1,192,8
12,2,72,12
12,2,84,4
12,2,432,5
12,2,444,1
12,2,1295,35
12,3,0,16
12,3,2,8
12,3,5,22
12,3,74,2
12,3,432,2
14,0,2,5
14,0,12,6
14,0,14,12
14,0,434,2
14,0,446,2
14,0,1080,1
14,0,1092,1
14,0,1094,1
14,1,0,1
14,1,2,5
14,1,12,3
14,1,14,9
14,1,84,1
14,1,86,1
14,1,192,1
14,1,194,2
14,2,72,1
14,2,432,4
14,2,1295,6
14,3,72,1
14,3,74,1
14,3,432,3
14,3,1295,5
17,0,5,36
17,0,17,77
17,0,1085,1
17,0,1097,2
17,1,5,26
17,1,17,90
17,1,197,3
17,2,72,1
17,2,84,1
17,2,432,28
17,2,444,17
17,2,1295,56
17,3,5,5
17,3,17,95
18,0,6,4
18,0,18,4
18,0,20,4
18,0,1098,1
18,1,6,4
18,1,18,6
18,2,330,3
18,2,342,1
18,2,690,7
18,2,702,10
18,2,762,1
18,2,774,3
18,3,0,3
20,0,6,1
20,0,8,1
20,0,18,1
20,0,20,6
20,1,6,2
20,1,8,1
20,1,18,2
20,1,20,4
20,1,200,1
20,2,330,5
20,2,342,4
20,2,690,5
20,2,702,3
20,2,762,5
20,2,774,2
20,3,432,2
20,3,1295,2
72,0,0,11
72,0,2,2
72,0,72,7
72,0,74,2
72,0,84,1
72,0,1080,1
72,0,1152,1
72,1,72,6
72,1,74,1
72,1,1295,13
72,2,0,7
72,2,2,14
72,2,12,1
72,2,14,3
72,2,18,1
72,2,72,3
72,2,74,1
72,2,84,1
72,2,432,1
72,2,434,3
72,2,1295,3
72,3,0,1
72,3,2,1
72,3,5,2
72,3,12,12
72,3,84,2
72,3,444,1
72,3,1295,1
74,0,2,2
74,0,72,1
74,0,74,6
74,0,86,1
74,1,74,1
74,1,1295,4
74,2,2,5
74,2,14,4
74,2,1295,1
74,3,72,1
74,3,74,2
74,3,444,2
74,3,1295,2
84,0,0,1
84,0,12,5
84,0,72,1
84,0,84,4
84,1,84,1
84,1,1295,7
84,2,72,2
84,2,432,2
84,2,434,1
84,2,1295,5
84,3,5,4
84,3,12,4
84,3,14,1
86,0,74,1
86,0,86,1
86,1,86,1
86,1,1295,1
86,2,1295,2
86,3,444,1
180,0,0,6
180,0,2,1
180,0,12,4
180,0,432,4
180,1,180,27
180,1,612,1
180,1,624,1
180,1,1295,2
180,2,180,25
180,2,182,1
180,2,192,15
180,2,194,2
180,2,624,3
180,3,180,10
180,3,182,3
180,3,185,22
180,3,192,4
180,3,624,1
182,0,2,4
182,0,84,1
182,0,446,1
182,1,182,6
182,1,194,1
182,2,180,1
182,2,192,2
182,2,198,1
182,3,180,2
182,3,182,1
182,3,612,1
182,3,1295,1
185,0,5,7
185,0,17,1
185,1,185,28
185,1,197,3
185,2,180,25
185,2,192,11
185,2,624,1
185,3,185,29
185,3,197,1
186,0,6,1
186,0,8,1
186,1,186,3
186,1,188,1
186,2,1295,1
186,3,180,2
188,1,188,1
188,2,1295,1
188,3,614,1
192,0,0,1
192,0,12,10
192,0,14,1
192,0,434,1
192,0,444,1
192,1,180,4
192,1,182,1
192,1,192,25
192,1,624,2
192,2,180,1
192,2,192,2
192,2,1295,6
192,3,180,6
192,3,182,2
192,3,185,11
192,3,192,1
192,3,612,1
192,3,1295,1
194,0,2,2
194,0,14,1
194,1,192,1
194,1,194,6
194,1,1295,1
194,2,180,1
194,2,1295,1
194,3,1295,2
197,0,17,3
197,1,185,1
