state,action,next-state,count
0,0,0,182
0,0,2,7
0,0,12,9
0,0,14,2
0,0,432,33
0,0,1080,4
0,1,0,229
0,1,2,8
0,1,12,28
0,1,72,17
0,1,84,4
0,1,180,16
0,1,182,1
0,1,192,3
0,1,194,1
0,2,0,260
0,2,2,4
0,2,6,33
0,2,12,50
0,2,14,1
0,2,18,6
0,2,72,8
0,2,84,8
0,2,432,10
0,2,444,4
0,3,0,82
0,3,2,6
0,3,5,87
0,3,72,2
0,3,74,3
0,3,432,5
2,0,0,7
2,0,2,28
2,0,14,8
2,0,432,1
2,1,0,6
2,1,2,37
2,1,12,2
2,1,14,4
2,1,72,3
2,1,74,9
2,1,86,2
2,1,182,9
2,1,194,1
2,2,0,16
2,2,6,5
2,2,12,9
2,2,14,1
2,2,18,2
2,2,72,1
2,2,84,1
2,2,432,3
2,2,444,1
2,3,72,2
2,3,432,7
2,3,1295,15
5,0,5,127
5,0,17,33
5,0,1085,3
5,0,1097,1
5,1,5,154
5,1,17,4
5,1,185,4
5,2,0,204
5,2,12,31
5,2,72,8
5,2,84,4
5,2,432,17
5,2,444,8
5,3,5,153
5,3,17,9
6,0,6,41
6,0,8,15
6,0,18,10
6,0,20,9
6,1,6,31
6,1,18,2
6,2,1295,9
6,3,0,5
6,3,2,3
6,3,432,1
8,0,6,1
8,0,8,8
8,0,20,7
8,0,1088,1
8,1,6,7
8,1,8,6
8,2,1295,2
8,3,432,2
8,3,434,1
8,3,1295,2
12,0,0,9
12,0,2,3
12,0,12,35
12,0,14,5
12,0,432,1
12,0,444,18
12,0,1080,1
12,0,1092,2
12,1,0,27
12,1,2,2
12,1,12,63
12,1,14,3
12,1,72,4
12,1,84,13
12,1,180,8
12,1,192,8
12,2,72,8
12,2,84,5
12,2,432,3
12,2,1295,25
12,3,0,18
12,3,2,4
12,3,5,28
12,3,72,2
12,3,74,1
12,3,432,3
14,0,0,2
14,0,2,6
14,0,12,3
14,0,14,16
14,0,1082,2
14,0,1092,1
14,0,1094,1
14,1,2,2
14,1,12,7
14,1,14,11
14,1,86,2
14,1,192,2
14,1,194,5
14,2,72,1
14,2,1295,7
14,3,72,2
14,3,74,2
14,3,432,6
14,3,1295,5
17,0,5,21
17,0,17,62
17,0,1097,1
17,1,5,16
17,1,17,69
17,1,185,2
17,1,197,1
17,2,72,1
17,2,432,29
17,2,444,15
17,2,1295,56
17,3,5,3
17,3,17,99
18,0,6,5
18,0,18,5
18,0,20,3
18,0,1086,3
18,0,1088,1
18,0,1098,2
18,1,6,2
18,1,18,7
18,1,20,2
18,2,330,1
18,2,342,3
18,2,690,7
18,2,702,3
18,2,774,2
18,2,1295,1
18,3,0,2
18,3,2,2
18,3,74,1
20,0,8,1
20,0,18,2
20,0,20,6
20,0,1088,1
20,0,1100,1
20,1,8,2
20,1,18,1
20,1,20,5
20,2,330,6
20,2,690,10
20,2,702,2
20,2,762,3
20,2,774,2
20,3,434,1
20,3,1295,3
72,0,0,9
72,0,72,7
72,0,84,2
72,0,1080,1
72,1,72,4
72,1,74,1
72,1,86,1
72,1,192,1
72,1,1295,14
72,2,0,5
72,2,2,9
72,2,12,1
72,2,14,1
72,2,72,1
72,2,74,1
72,2,84,1
72,2,432,1
72,2,434,2
72,2,1295,2
72,3,5,4
72,3,12,8
72,3,14,1
72,3,74,1
72,3,84,1
72,3,444,2
72,3,1295,1
74,0,2,4
74,0,72,2
74,0,74,5
74,1,74,1
74,1,86,1
74,1,1295,6
74,2,2,7
74,2,6,1
74,2,14,3
74,2,434,1
74,2,1295,1
74,3,84,1
74,3,444,1
74,3,1295,4
84,0,0,5
84,0,2,1
84,0,12,3
84,0,72,1
84,0,74,1
84,0,84,3
84,0,86,1
84,1,72,3
84,1,84,1
84,1,86,1
84,1,192,2
84,1,1295,4
84,2,86,1
84,2,434,2
84,2,1295,8
84,3,5,2
84,3,12,3
84,3,14,1
84,3,444,1
84,3,1295,2
86,0,0,1
86,0,14,2
86,0,74,1
86,0,86,1
86,1,86,1
86,1,192,1
86,1,1295,2
86,2,1295,2
86,3,432,1
86,3,1295,1
180,0,0,5
180,0,12,2
180,0,432,2
180,1,180,34
180,1,182,3
180,1,192,3
180,1,612,3
180,2,180,20
180,2,182,2
180,2,192,18
180,2,612,3
180,3,180,16
180,3,182,5
180,3,185,29
180,3,612,2
180,3,614,1
182,0,2,8
182,0,14,1
