state,action,next-state,count
762,0,342,1
762,0,1194,1
762,1,690,3
762,1,702,1
762,2,1295,1
762,3,18,1
762,3,20,3
765,0,343,1
765,1,693,1
765,3,342,1
765,3,702,1
774,0,342,4
774,0,1206,1
774,1,690,1
774,1,702,3
774,2,345,1
774,2,693,1
774,2,765,1
774,3,18,2
775,0,343,1
775,2,333,1
775,3,1295,1
777,0,345,1
777,1,703,1
777,1,705,1
1080,0,1080,23
1080,0,1082,1
1080,0,1152,1
1080,0,1295,2
1080,1,0,7
1080,1,2,1
1080,1,12,1
1080,1,84,1
1080,2,1080,36
1080,2,1082,1
1080,2,1086,5
1080,2,1092,6
1080,2,1098,7
1080,2,1100,1
1080,2,1152,5
1080,2,1295,1
1080,3,1080,15
1080,3,1082,8
1080,3,1085,17
1080,3,1295,2
1082,0,1080,2
1082,0,1082,8
1082,0,1094,1
1082,0,1154,1
1082,1,2,2
1082,1,14,1
1082,1,74,1
1082,2,1080,5
1082,2,1092,1
1082,2,1098,1
1082,3,1152,1
1082,3,1295,2
1085,0,1085,23
1085,0,1097,2
1085,1,5,8
1085,2,1080,16
1085,2,1092,6
1085,2,1152,3
1085,2,1164,1
1085,2,1295,2
1085,3,1085,18
1086,0,1086,5
1086,1,6,3
1086,1,8,1
1086,2,1295,2
1086,3,1080,3
1088,0,1086,1
1088,0,1088,1
1088,1,8,1
1088,2,1295,1
1092,0,1080,3
1092,0,1092,6
1092,1,0,1
1092,1,12,3
1092,2,1152,4
1092,2,1164,1
1092,2,1295,2
1092,3,1080,3
1092,3,1085,2
1092,3,1097,1
1094,0,1094,1
1094,1,14,1
1094,2,1295,1
1094,3,1295,1
1097,0,1085,2
1097,0,1097,9
1097,1,17,4
1097,2,1295,4
1097,3,1085,4
1097,3,1097,7
1098,0,1086,1
1098,0,1098,7
1098,1,6,1
1098,1,18,4
1098,2,1122,1
1098,2,1134,1
1098,2,1194,1
1098,2,1206,1
1098,2,1295,1
1098,3,1080,2
1098,3,1295,1
1100,2,1122,1
1122,0,1122,1
1122,1,1295,1
1122,2,1295,1
1134,2,1209,1
1152,0,1152,2
1152,0,1295,2
1152,1,72,1
1152,1,1295,3
1152,2,1080,2
1152,2,1082,1
1152,2,1295,1
1152,3,1080,3
1152,3,1092,1
1154,0,1154,2
1154,1,1295,1
1164,1,1295,1
1164,2,1295,1
1194,0,1194,2
1194,1,702,1
1194,1,762,1
1194,3,1098,1
1195,3,1295,1
1197,2,1295,1
1206,0,1295,1
1206,1,690,1
1206,1,762,1
1206,2,1209,1
1206,3,1098,1
1209,1,345,1
1209,3,1206,1
1295,0,5,31
1295,0,17,22
1295,1,5,25
1295,1,17,24
1295,2,0,13
1295,2,12,4
1295,2,72,1
1295,2,432,6
1295,2,444,2
1295,2,1295,13
1295,3,5,31
1295,3,17,28
