Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99
9.0,1.0,37.0,45.0,48.0,59.0,66.0,15.0,84.0,117.0,107.0,33.0,6.0,129.0,194.0,203.0,45.0,226.0,153.0,164.0,178.0,200.0,296.0,54.0,234.0,348.0,362.0,268.0,80.0,397.0,418.0,72.0,309.0,13.0,323.0,482.0,346.0,511.0,357.0,30.0,81.0,387.0,396.0,412.0,255.0,437.0,10.0,125.0,622.0,99.0,278.0,486.0,79.0,7.0,87.0,535.0,680.0,578.0,591.0,604.0,121.0,31.0,632.0,644.0,660.0,673.0,688.0,702.0,62.0,750.0,39.0,48.0,69.0,25.0,85.0,64.0,848.0,856.0,874.0,886.0,197.0,123.0,62.0,926.0,943.0,76.0,890.0,4.0,8.0,206.0,1016.0,1025.0,1034.0,230.0,54.0,237.0,247.0,94.0,310.0,241.0
10.0,3.0,6.0,46.0,49.0,60.0,67.0,35.0,85.0,118.0,108.0,19.0,174.0,130.0,30.0,204.0,96.0,227.0,18.0,165.0,179.0,201.0,297.0,15.0,235.0,349.0,363.0,269.0,81.0,398.0,87.0,73.0,76.0,14.0,99.0,483.0,347.0,512.0,96.0,108.0,371.0,553.0,397.0,413.0,89.0,116.0,11.0,459.0,463.0,277.0,134.0,487.0,43.0,1.0,522.0,142.0,556.0,579.0,723.0,171.0,745.0,32.0,38.0,111.0,661.0,674.0,689.0,703.0,202.0,52.0,40.0,49.0,70.0,26.0,81.0,101.0,113.0,846.0,118.0,887.0,151.0,124.0,78.0,927.0,944.0,28.0,211.0,5.0,9.0,74.0,220.0,224.0,226.0,220.0,112.0,92.0,194.0,95.0,37.0,150.0
11.0,4.0,2.0,47.0,50.0,1.0,68.0,19.0,88.0,119.0,109.0,34.0,175.0,35.0,29.0,205.0,97.0,228.0,154.0,166.0,37.0,202.0,215.0,16.0,58.0,350.0,67.0,75.0,82.0,288.0,419.0,74.0,77.0,447.0,324.0,84.0,348.0,513.0,107.0,31.0,546.0,554.0,398.0,414.0,594.0,8.0,12.0,126.0,127.0,129.0,6.0,488.0,14.0,3.0,146.0,667.0,557.0,580.0,724.0,119.0,746.0,33.0,39.0,112.0,185.0,675.0,690.0,704.0,71.0,53.0,21.0,50.0,71.0,141.0,82.0,102.0,114.0,857.0,31.0,70.0,901.0,21.0,164.0,928.0,945.0,24.0,188.0,6.0,32.0,11.0,1017.0,213.0,300.0,221.0,55.0,238.0,248.0,96.0,32.0,151.0
12.0,4.0,7.0,36.0,51.0,2.0,7.0,36.0,89.0,52.0,110.0,20.0,176.0,25.0,195.0,32.0,25.0,229.0,155.0,167.0,180.0,203.0,216.0,55.0,10.0,351.0,68.0,270.0,31.0,84.0,88.0,12.0,4.0,448.0,325.0,85.0,104.0,106.0,97.0,3.0,101.0,388.0,399.0,415.0,595.0,9.0,93.0,13.0,61.0,130.0,13.0,125.0,80.0,1.0,88.0,668.0,148.0,581.0,592.0,172.0,747.0,123.0,16.0,645.0,662.0,189.0,691.0,118.0,72.0,54.0,22.0,49.0,68.0,27.0,53.0,103.0,6.0,858.0,119.0,159.0,152.0,64.0,165.0,79.0,946.0,6.0,979.0,18.0,33.0,12.0,221.0,214.0,80.0,222.0,56.0,191.0,332.0,120.0,33.0,152.0
13.0,14.0,1.0,48.0,52.0,61.0,69.0,37.0,43.0,120.0,154.0,121.0,22.0,26.0,23.0,33.0,34.0,147.0,156.0,39.0,181.0,204.0,298.0,325.0,59.0,240.0,253.0,382.0,66.0,59.0,61.0,2.0,1.0,91.0,3.0,86.0,88.0,27.0,213.0,47.0,235.0,106.0,400.0,416.0,596.0,10.0,606.0,2.0,128.0,131.0,26.0,126.0,15.0,2.0,147.0,26.0,149.0,582.0,593.0,173.0,615.0,752.0,7.0,646.0,663.0,190.0,692.0,119.0,73.0,130.0,141.0,50.0,69.0,4.0,239.0,104.0,115.0,250.0,120.0,862.0,153.0,65.0,165.0,166.0,203.0,1.0,189.0,19.0,177.0,41.0,207.0,215.0,81.0,101.0,57.0,302.0,333.0,16.0,34.0,199.0
14.0,15.0,8.0,49.0,53.0,15.0,70.0,38.0,90.0,17.0,155.0,21.0,25.0,131.0,31.0,24.0,26.0,27.0,19.0,168.0,263.0,205.0,51.0,326.0,60.0,241.0,254.0,271.0,155.0,165.0,420.0,63.0,1.0,449.0,4.0,87.0,18.0,28.0,44.0,32.0,236.0,389.0,401.0,417.0,597.0,117.0,121.0,95.0,62.0,132.0,102.0,127.0,81.0,4.0,14.0,27.0,681.0,48.0,594.0,174.0,616.0,182.0,17.0,113.0,186.0,191.0,44.0,120.0,309.0,131.0,768.0,51.0,821.0,28.0,806.0,836.0,7.0,68.0,121.0,888.0,60.0,66.0,259.0,68.0,22.0,1.0,980.0,20.0,215.0,42.0,75.0,298.0,1035.0,87.0,113.0,97.0,334.0,121.0,35.0,105.0
15.0,16.0,5.0,10.0,53.0,16.0,71.0,20.0,91.0,18.0,156.0,6.0,177.0,3.0,196.0,34.0,nan,36.0,157.0,169.0,264.0,206.0,52.0,327.0,49.0,242.0,364.0,272.0,156.0,166.0,180.0,186.0,65.0,92.0,2.0,72.0,19.0,75.0,214.0,46.0,102.0,113.0,402.0,418.0,598.0,118.0,449.0,266.0,63.0,5.0,636.0,18.0,105.0,5.0,6.0,16.0,28.0,583.0,725.0,605.0,617.0,753.0,18.0,647.0,187.0,131.0,45.0,705.0,74.0,4.0,212.0,51.0,224.0,142.0,240.0,837.0,8.0,33.0,32.0,889.0,154.0,67.0,260.0,69.0,204.0,25.0,190.0,9.0,200.0,43.0,76.0,16.0,83.0,30.0,58.0,303.0,249.0,122.0,232.0,106.0
1.0,31.0,30.0,6.0,54.0,13.0,72.0,6.0,92.0,53.0,157.0,7.0,124.0,27.0,74.0,206.0,nan,230.0,158.0,170.0,265.0,207.0,299.0,56.0,336.0,243.0,255.0,273.0,157.0,167.0,181.0,38.0,438.0,311.0,69.0,202.0,41.0,514.0,215.0,12.0,48.0,107.0,403.0,419.0,117.0,119.0,450.0,96.0,464.0,17.0,637.0,19.0,280.0,2.0,7.0,17.0,29.0,159.0,726.0,606.0,177.0,62.0,166.0,114.0,129.0,291.0,46.0,121.0,183.0,139.0,213.0,52.0,41.0,29.0,241.0,828.0,9.0,155.0,12.0,890.0,34.0,24.0,261.0,70.0,23.0,26.0,191.0,2.0,201.0,11.0,14.0,79.0,84.0,102.0,59.0,98.0,250.0,69.0,36.0,1090.0
16.0,32.0,38.0,37.0,9.0,11.0,73.0,2.0,21.0,54.0,158.0,23.0,23.0,4.0,38.0,207.0,nan,35.0,159.0,243.0,106.0,55.0,300.0,59.0,337.0,244.0,256.0,274.0,158.0,399.0,182.0,64.0,439.0,7.0,476.0,203.0,89.0,352.0,523.0,79.0,49.0,114.0,52.0,1.0,50.0,53.0,451.0,267.0,465.0,69.0,279.0,7.0,106.0,107.0,109.0,536.0,18.0,709.0,727.0,741.0,178.0,63.0,125.0,648.0,664.0,292.0,47.0,30.0,127.0,816.0,769.0,52.0,225.0,5.0,242.0,103.0,10.0,847.0,33.0,74.0,35.0,18.0,915.0,19.0,27.0,7.0,981.0,3.0,71.0,13.0,15.0,80.0,33.0,31.0,60.0,304.0,10.0,70.0,37.0,256.0
2.0,33.0,39.0,38.0,10.0,62.0,72.0,15.0,22.0,23.0,159.0,64.0,178.0,27.0,17.0,208.0,nan,nan,160.0,244.0,107.0,56.0,301.0,60.0,338.0,245.0,69.0,76.0,159.0,400.0,62.0,187.0,78.0,15.0,477.0,204.0,90.0,43.0,216.0,109.0,372.0,115.0,404.0,1.0,256.0,5.0,607.0,nan,466.0,18.0,135.0,8.0,281.0,649.0,148.0,537.0,17.0,160.0,728.0,742.0,122.0,64.0,755.0,115.0,665.0,169.0,48.0,122.0,128.0,751.0,770.0,53.0,42.0,147.0,54.0,105.0,11.0,848.0,34.0,33.0,161.0,3.0,916.0,25.0,4.0,27.0,192.0,4.0,72.0,21.0,49.0,81.0,34.0,188.0,61.0,99.0,102.0,71.0,133.0,242.0
