state,action,next-state,count
0,0,0,146
0,0,2,8
0,0,12,7
0,0,14,3
0,0,432,25
0,0,444,1
0,0,1080,10
0,0,1092,1
0,1,0,199
0,1,2,6
0,1,12,14
0,1,72,9
0,1,74,1
0,1,84,3
0,1,180,6
0,1,192,2
0,1,432,1
0,2,0,264
0,2,2,1
0,2,6,34
0,2,12,59
0,2,18,4
0,2,72,14
0,2,74,1
0,2,84,14
0,2,432,11
0,2,444,2
0,3,0,77
0,3,2,11
0,3,5,101
0,3,12,2
0,3,14,1
0,3,72,8
0,3,74,2
0,3,432,11
0,3,434,1
2,0,0,17
2,0,2,38
2,0,12,1
2,0,14,5
2,0,432,2
2,0,434,6
2,0,1080,2
2,0,1082,4
2,0,1094,1
2,1,0,11
2,1,2,29
2,1,14,2
2,1,72,1
2,1,74,4
2,1,86,1
2,1,182,3
2,1,192,1
2,1,194,1
2,2,0,11
2,2,6,1
2,2,12,11
2,2,18,1
2,2,72,1
2,2,432,1
2,2,444,1
2,3,72,5
2,3,74,1
2,3,432,13
2,3,434,1
2,3,1295,15
5,0,5,175
5,0,17,38
5,0,1085,9
5,1,5,177
5,1,17,10
5,1,185,13
5,2,0,205
5,2,12,41
5,2,72,5
5,2,84,3
5,2,432,28
5,2,444,12
5,3,5,177
5,3,17,9
6,0,6,43
6,0,8,9
6,0,18,10
6,0,20,7
6,0,1086,3
6,1,6,31
6,1,186,1
6,2,1295,6
6,3,0,9
6,3,2,2
8,0,6,1
8,0,8,9
8,0,20,5
8,0,1100,1
8,1,6,2
8,1,8,10
8,1,20,1
8,2,1295,4
8,3,432,2
8,3,434,1
8,3,1295,2
12,0,0,8
12,0,2,5
12,0,12,48
12,0,14,5
12,0,432,2
12,0,434,1
12,0,444,21
12,0,1080,1
12,0,1092,1
12,1,0,12
12,1,2,1
12,1,12,41
12,1,14,3
12,1,72,4
12,1,84,1
12,1,180,2
12,1,192,4
12,1,194,2
12,1,444,1
12,2,72,9
12,2,84,4
12,2,432,4
12,2,1295,25
12,3,0,27
12,3,2,8
12,3,5,34
12,3,12,1
12,3,72,4
12,3,432,5
12,3,434,1
14,0,2,9
14,0,14,14
14,0,434,1
14,0,1082,2
14,1,0,1
14,1,2,6
14,1,12,3
14,1,14,4
14,1,72,1
14,1,84,1
14,1,86,4
14,1,194,2
14,2,72,2
14,2,84,2
14,2,432,3
14,2,1295,6
14,3,72,1
14,3,74,1
14,3,432,6
14,3,434,1
14,3,1295,4
17,0,5,24
17,0,17,64
17,0,1085,1
17,0,1097,1
17,1,5,19
17,1,17,64
17,2,72,2
17,2,84,1
17,2,432,40
17,2,444,22
17,2,1295,55
17,3,5,2
17,3,17,65
18,0,6,1
18,0,18,3
18,0,20,3
18,0,1086,1
18,0,1098,4
18,1,6,4
18,2,330,4
18,2,342,1
18,2,690,3
18,2,702,4
18,2,762,1
18,2,774,1
18,3,0,1
18,3,72,1
18,3,432,1
18,3,434,1
20,0,8,3
20,0,18,1
20,0,20,5
20,0,1098,1
20,0,1100,1
20,1,8,2
20,1,18,5
20,1,20,3
20,2,330,3
20,2,342,1
20,2,690,5
20,2,702,4
20,2,762,4
20,2,774,2
20,3,432,2
20,3,434,1
20,3,1295,1
72,0,0,11
72,0,2,2
72,0,12,3
72,0,14,1
72,0,72,8
72,0,74,5
72,0,84,2
72,0,1080,2
72,0,1092,1
72,1,72,4
72,1,1295,14
72,2,0,5
72,2,2,12
72,2,14,3
72,2,446,2
72,2,1295,3
72,3,5,4
72,3,12,4
72,3,14,2
72,3,444,1
72,3,1295,2
74,0,0,1
74,0,2,1
74,0,12,1
74,0,14,1
74,0,74,5
74,0,86,1
74,1,72,3
74,1,74,2
74,1,1295,3
74,2,2,5
74,2,14,5
74,2,74,1
74,2,434,1
74,2,446,1
74,3,74,1
74,3,444,5
74,3,446,1
74,3,1295,3
84,0,12,8
84,0,72,1
84,0,74,1
84,0,84,5
84,0,86,4
84,1,84,3
84,1,1295,6
84,2,434,1
84,2,1295,6
84,3,2,1
84,3,5,2
84,3,12,4
84,3,444,1
86,0,2,1
86,0,14,1
86,0,74,3
86,0,86,2
86,0,1154,1
86,0,1166,1
86,1,1295,3
86,2,434,1
86,2,1295,3
86,3,1295,3
180,0,0,4
180,0,2,1
180,0,72,1
180,1,180,13
180,1,192,1
180,2,180,10
180,2,192,4
180,2,624,1
180,3,180,5
180,3,185,7
180,3,192,1
180,3,612,1
182,0,2,2
182,1,182,3
182,2,198,1
182,3,1295,1
185,0,5,8
185,0,17,1
185,1,185,9
185,1,197,1
185,2,180,10
185,2,192,3
185,2,624,1
185,3,185,20
186,0,6,1
192,0,0,2
192,0,12,3
192,0,14,1
192,1,180,1
192,1,192,9
192,1,624,2
192,2,1295,3
192,3,180,1
192,3,182,1
192,3,185,4
192,3,192,1
192,3,194,1
194,0,12,1
194,0,14,2
194,1,194,1
194,2,192,1
194,2,1295,1
194,3,612,1
194,3,614,1
197,0,17,1
197,1,197,2
197,2,624,1
197,2,1295,1
197,3,197,1
198,2,402,1
330,0,1295,2
330,1,330,1
330,1,690,1
330,1,702,2
330,1,762,2
330,1,834,1
330,2,1295,2
330,3,18,3
330,3,20,2
333,2,1295,1
342,0,342,1
342,1,330,1
342,1,702,1
342,1,774,2
342,2,691,1
342,3,18,1
343,3,1295,1
345,1,777,1
402,0,330,1
432,0,432,16
432,0,444,1
432,0,1295,22
432,1,0,15
432,1,12,5
432,1,180,1
432,1,192,1
432,1,432,36
432,1,434,1
432,1,444,7
432,1,446,2
432,1,626,1
432,2,0,6
432,2,2,38
432,2,8,4
432,2,14,19
432,2,18,1
432,2,20,5
432,2,72,3
432,2,74,7
432,2,84,1
432,2,86,1
432,2,432,2
432,2,434,2
432,2,444,1
432,2,1295,5
432,3,5,4
432,3,12,6
432,3,17,31
432,3,1295,1
434,0,1295,6
