state,action,next-state,count
0,0,0,232
0,0,2,12
0,0,12,24
0,0,14,2
0,0,432,62
0,0,434,1
0,0,444,1
0,0,1080,27
0,0,1082,1
0,0,1092,2
0,0,1094,1
0,0,1295,2
0,1,0,217
0,1,2,11
0,1,12,19
0,1,72,16
0,1,74,1
0,1,84,2
0,1,180,19
0,1,182,1
0,1,192,4
0,1,432,1
0,2,0,200
0,2,2,1
0,2,6,11
0,2,12,48
0,2,14,1
0,2,18,4
0,2,72,7
0,2,84,12
0,2,432,11
0,3,0,75
0,3,2,13
0,3,5,106
0,3,17,2
0,3,72,7
0,3,74,1
0,3,432,14
0,3,434,2
2,0,0,17
2,0,2,44
2,0,14,9
2,0,432,2
2,0,434,3
2,0,1080,5
2,0,1082,3
2,0,1092,1
2,1,0,12
2,1,2,31
2,1,12,1
2,1,14,2
2,1,72,2
2,1,74,7
2,1,180,1
2,2,0,25
2,2,2,1
2,2,6,8
2,2,12,25
2,2,18,2
2,2,72,4
2,2,84,3
2,2,432,4
2,3,72,4
2,3,432,5
2,3,444,1
2,3,1295,16
5,0,5,155
5,0,17,45
5,0,1085,1
5,1,5,172
5,1,17,9
5,1,185,11
5,2,0,221
5,2,12,55
5,2,72,12
5,2,84,7
5,2,432,36
5,2,444,14
5,3,5,193
5,3,17,6
6,0,6,20
6,0,8,6
6,0,18,4
6,0,20,2
6,0,1086,2
6,0,1098,1
6,1,6,22
6,1,18,3
6,1,186,2
6,2,1295,6
6,3,0,4
6,3,2,4
8,0,8,2
8,0,20,2
8,0,1088,1
8,1,6,2
8,1,8,1
8,1,188,1
8,2,1295,2
8,3,434,3
12,0,0,10
12,0,2,3
12,0,12,60
12,0,14,7
12,0,432,3
12,0,444,11
12,0,1080,1
12,0,1092,7
12,1,0,27
12,1,2,3
12,1,12,61
12,1,14,5
12,1,72,3
12,1,84,10
12,1,180,5
12,1,192,11
12,2,72,6
12,2,84,7
12,2,432,6
12,2,444,4
12,2,1295,34
12,3,0,28
12,3,2,12
12,3,5,34
12,3,12,1
12,3,17,1
12,3,74,1
12,3,432,5
14,0,2,10
14,0,12,4
14,0,14,18
14,0,446,1
14,0,1082,3
14,0,1092,2
14,0,1094,4
14,1,0,1
14,1,2,4
14,1,12,5
14,1,14,17
14,1,84,1
14,1,86,5
14,2,84,1
14,2,432,6
14,2,1295,6
14,3,74,1
14,3,432,3
14,3,1295,7
17,0,5,31
17,0,17,64
17,0,1085,1
17,0,1097,6
17,1,5,32
17,1,17,86
17,1,185,3
17,1,197,6
17,2,72,1
17,2,84,1
17,2,432,31
17,2,444,7
17,2,1295,48
17,3,5,2
17,3,17,80
18,0,6,2
18,0,18,2
18,0,20,1
18,0,1086,1
18,0,1098,2
18,1,6,1
18,1,18,4
18,1,20,1
18,1,198,1
18,2,330,4
18,2,342,2
18,2,690,3
18,2,702,5
18,2,762,1
18,3,2,2
20,0,6,1
20,0,8,1
20,0,20,5
20,1,8,1
20,1,20,9
20,1,200,1
20,2,342,3
20,2,690,4
20,2,702,2
20,2,762,4
20,3,434,2
20,3,1295,1
72,0,0,16
72,0,12,1
72,0,72,6
72,0,74,1
72,0,86,1
72,0,1080,2
72,1,72,8
72,1,84,1
72,1,86,1
72,1,180,5
72,1,192,1
72,1,1295,8
72,2,0,7
72,2,2,11
72,2,6,1
72,2,12,4
72,2,14,3
72,2,18,1
72,2,72,1
72,2,74,2
72,2,434,3
72,2,1295,2
72,3,2,1
72,3,5,8
72,3,12,3
74,0,2,6
74,0,72,1
74,0,74,2
74,0,86,1
74,1,72,1
74,1,74,4
74,1,86,1
74,1,1295,4
74,2,0,1
74,2,2,5
74,2,1295,1
74,3,444,2
74,3,1295,7
84,0,0,1
84,0,12,9
84,0,72,3
84,0,74,2
84,0,84,4
84,0,1152,1
84,1,72,1
84,1,84,3
84,1,192,1
84,1,1295,7
84,2,434,2
84,2,1295,8
84,3,0,1
84,3,5,3
84,3,12,7
84,3,14,2
84,3,444,2
84,3,1295,1
86,0,72,1
86,0,74,3
86,0,86,2
86,1,1295,3
86,2,74,2
86,2,434,1
86,2,1295,1
86,3,74,1
86,3,444,1
86,3,1295,2
180,0,0,5
180,0,2,1
180,0,12,1
180,0,72,2
180,0,432,4
180,0,444,1
180,1,180,25
180,1,192,5
180,1,614,1
180,1,1295,1
180,2,180,28
180,2,182,5
180,2,186,1
180,2,192,17
180,2,194,1
180,2,198,1
180,3,180,17
180,3,182,3
180,3,185,20
180,3,192,3
180,3,194,2
180,3,614,1
182,0,2,4
182,1,182,15
182,2,180,6
182,2,182,2
182,2,186,4
182,2,192,2
182,3,612,1
182,3,1295,3
185,0,5,7
185,0,17,2
185,1,185,24
185,1,197,2
185,2,180,17
185,2,192,13
185,2,612,5
185,2,624,1
185,3,185,31
185,3,197,3
186,0,6,3
186,0,8,1
186,1,186,5
186,2,1295,1
186,3,180,1
186,3,182,2
188,0,20,1
192,0,0,1
192,0,12,12
192,0,72,1
192,0,444,2
192,1,180,1
192,1,192,20
192,1,1295,1
192,2,180,2
192,2,192,1
192,2,1295,8
192,3,180,11
192,3,182,3
192,3,185,15
192,3,192,2
192,3,194,2
194,0,2,1
194,0,434,1
194,1,194,2
194,2,192,2
194,2,1295,1
194,3,612,2
194,3,624,1
197,0,17,5
197,1,197,17
197,2,612,5
197,2,624,2
197,2,1295,4
197,3,197,17
198,0,18,2
198,1,186,1
198,1,198,1
198,3,180,1
200,3,1295,1
330,0,1295,1
330,1,330,1
330,1,402,1
330,1,762,2
330,1,774,1
330,2,1295,1
330,3,20,1
331,2,1295,1
333,1,693,1
333,1,765,2
342,0,1295,1
342,1,702,1
342,1,762,1
342,2,333,1
342,2,345,1
342,2,765,1
342,3,18,1
345,0,1295,1
345,2,705,1
345,3,342,1
402,0,1295,1
432,0,432,21
432,0,444,1
432,0,1295,17
432,1,0,25
432,1,2,2
432,1,12,5
432,1,180,3
432,1,432,28
432,1,434,3
432,1,444,3
432,1,612,4
432,1,624,1
432,2,0,6
432,2,2,48
432,2,6,1
432,2,8,1
432,2,12,3
432,2,14,25
432,2,20,4
432,2,74,4
432,2,84,2
432,2,86,2
432,2,434,1
432,2,446,4
432,2,1295,4
432,3,0,1
432,3,5,4
432,3,12,2
432,3,14,3
432,3,17,27
432,3,432,1
432,3,1295,3
434,0,434,5
434,0,1295,3
434,1,0,1
434,1,2,3
434,1,434,5
434,2,0,2
434,2,2,2
434,2,6,1
434,2,8,1
434,2,20,2
434,2,1295,1
434,3,84,2
434,3,86,1
434,3,1295,5
444,0,444,5
444,0,1295,8
444,1,0,7
444,1,12,5
444,1,180,2
444,1,432,3
444,1,434,1
444,1,444,9
444,2,72,3
444,2,74,2
444,2,86,3
444,2,432,1
444,2,434,1
444,2,1295,10
444,3,0,1
444,3,5,1
444,3,17,8
446,0,1094,1
446,0,1295,1
446,1,14,1
446,3,432,2
612,0,432,2
612,0,1295,1
612,1,612,2
612,1,614,1
612,1,1295,1
612,2,182,3
612,2,194,3
612,2,614,1
612,2,1295,1
612,3,185,1
612,3,197,3
614,1,182,1
614,2,180,1
614,2,182,1
614,3,1295,1
624,1,624,1
624,1,1295,1
624,2,182,1
624,2,1295,1
624,3,197,2
690,0,762,4
690,1,1295,1
690,2,1295,2
690,3,20,2
690,3,198,1
693,2,1295,1
702,0,342,1
702,0,762,1
702,0,774,1
702,1,1295,1
702,2,333,1
702,2,345,1
702,2,777,1
702,3,18,3
705,1,1295,1
705,3,777,1
762,0,330,3
762,1,690,2
762,1,702,2
762,2,1295,1
762,3,18,1
762,3,20,4
765,0,331,1
765,2,1295,1
765,3,774,1
774,1,690,1
774,1,834,1
774,2,333,1
