state,action,next-state,count
0,0,0,253
0,0,2,14
0,0,12,19
0,0,14,3
0,0,432,47
0,0,434,2
0,0,444,2
0,0,1080,30
0,0,1092,1
0,1,0,203
0,1,2,3
0,1,12,13
0,1,14,1
0,1,72,9
0,1,74,2
0,1,84,1
0,1,180,7
0,1,192,1
0,2,0,229
0,2,2,1
0,2,6,19
0,2,12,69
0,2,18,5
0,2,72,11
0,2,84,8
0,2,432,13
0,2,444,4
0,3,0,73
0,3,2,8
0,3,5,111
0,3,12,1
0,3,14,1
0,3,72,3
0,3,74,1
0,3,432,12
0,3,434,1
0,3,444,1
2,0,0,18
2,0,2,45
2,0,12,2
2,0,14,7
2,0,432,1
2,0,434,2
2,0,1080,6
2,0,1082,12
2,0,1094,1
2,1,0,13
2,1,2,33
2,1,12,5
2,1,14,3
2,1,72,3
2,1,74,6
2,1,84,1
2,1,182,1
2,2,0,13
2,2,6,3
2,2,12,16
2,2,18,2
2,2,432,1
2,2,444,1
2,3,72,3
2,3,432,9
2,3,444,1
2,3,1295,12
5,0,5,179
5,0,17,47
5,0,1085,3
5,0,1097,1
5,1,5,197
5,1,17,14
5,1,185,14
5,2,0,213
5,2,12,43
5,2,72,10
5,2,84,2
5,2,432,30
5,2,444,10
5,3,5,192
5,3,17,9
6,0,6,30
6,0,8,10
6,0,18,6
6,0,1086,1
6,0,1098,1
6,1,6,24
6,1,18,4
6,1,186,1
6,2,1295,3
6,3,0,4
6,3,2,2
8,0,8,9
8,0,20,8
8,1,6,2
8,1,8,6
8,2,1295,2
8,3,72,1
8,3,432,1
8,3,1295,1
12,0,0,9
12,0,2,7
12,0,12,62
12,0,14,8
12,0,444,10
12,0,446,1
12,0,1080,4
12,0,1092,7
12,1,0,21
12,1,2,1
12,1,12,52
12,1,14,5
12,1,72,4
12,1,84,12
12,1,180,2
12,1,192,7
12,1,194,1
12,2,72,5
12,2,432,5
12,2,444,1
12,2,1295,34
12,3,0,33
12,3,2,14
12,3,5,25
12,3,72,1
12,3,432,5
12,3,434,1
14,0,2,7
14,0,12,6
14,0,14,15
14,0,1080,1
14,0,1082,1
14,0,1092,3
14,0,1094,3
14,1,0,1
14,1,2,3
14,1,12,2
14,1,14,14
14,1,84,1
14,1,86,4
14,1,194,2
14,2,72,1
14,2,84,2
14,2,444,1
14,2,1295,6
14,3,72,1
14,3,432,4
14,3,1295,7
17,0,5,36
17,0,17,78
17,0,1085,1
17,0,1097,5
17,1,5,21
17,1,17,88
17,1,185,2
17,2,72,1
17,2,432,35
17,2,444,14
17,2,1295,60
17,3,5,5
17,3,17,87
18,0,6,1
18,0,18,4
18,0,20,4
18,0,1086,3
18,0,1098,2
18,1,6,1
18,1,18,8
18,1,198,1
18,2,330,2
18,2,342,2
18,2,690,3
18,2,702,3
18,2,762,6
18,2,774,2
18,3,0,2
18,3,2,1
20,0,6,1
20,0,8,3
20,0,18,1
20,0,20,1
20,1,8,1
20,1,18,3
20,1,20,2
20,2,342,1
20,2,690,2
20,2,702,1
20,2,762,2
20,2,774,1
20,3,1295,2
72,0,0,9
72,0,72,3
72,0,74,2
72,0,84,1
72,0,1080,1
72,1,72,7
72,1,1295,8
72,2,0,3
72,2,2,11
72,2,6,1
72,2,14,3
72,2,18,1
72,2,434,1
72,2,444,1
72,2,1295,2
72,3,2,2
72,3,5,4
72,3,12,4
72,3,14,1
72,3,84,1
72,3,444,2
72,3,1295,1
74,0,0,1
74,0,2,3
74,0,72,1
74,0,74,2
74,1,74,1
74,1,1295,3
74,2,2,4
74,2,14,3
74,3,444,3
74,3,1295,3
84,0,0,4
84,0,12,1
84,0,14,1
84,0,74,1
84,0,84,4
84,0,1092,1
84,1,84,3
84,1,1295,4
84,2,74,1
84,2,434,3
84,2,446,2
84,2,1295,8
84,3,2,1
84,3,5,1
84,3,12,5
84,3,14,1
84,3,1295,1
86,0,74,1
86,0,84,1
86,1,84,1
86,1,86,1
86,2,1295,2
86,3,444,3
86,3,1295,1
180,0,0,8
180,0,432,1
180,1,180,14
180,2,180,9
180,2,186,1
180,2,192,6
180,2,612,1
180,3,180,1
180,3,182,2
180,3,185,7
180,3,192,2
180,3,194,1
180,3,612,1
180,3,624,1
182,0,2,1
182,1,182,2
182,2,180,2
182,3,1295,2
185,0,5,5
185,0,17,1
185,1,185,11
185,1,197,1
185,2,180,11
185,2,192,5
185,2,612,1
185,3,185,9
185,3,197,1
186,0,6,1
186,2,1295,1
188,1,188,1
188,3,614,1
192,0,0,2
192,0,12,3
192,0,84,1
192,1,180,1
192,1,192,11
192,2,180,2
192,2,1295,5
192,3,180,4
192,3,182,2
192,3,185,2
192,3,192,1
194,0,14,1
194,1,194,3
194,2,1295,1
194,3,1295,2
197,0,17,2
197,1,197,4
197,2,624,1
197,3,197,3
198,0,6,1
200,3,612,1
330,0,1295,1
330,1,330,1
330,1,402,1
330,1,762,1
330,2,1295,1
330,3,18,1
330,3,20,2
333,2,1295,1
342,0,1295,1
342,1,834,1
342,2,333,1
342,3,18,1
342,3,20,1
345,0,1207,1
402,1,402,2
402,3,200,1
432,0,432,14
432,0,1295,21
432,1,0,21
432,1,2,1
432,1,12,2
432,1,14,1
432,1,180,1
432,1,192,1
432,1,432,23
432,1,434,2
432,1,444,4
432,1,624,1
432,2,0,7
432,2,2,47
432,2,8,1
432,2,12,5
432,2,14,11
432,2,20,1
432,2,72,1
432,2,74,5
432,2,86,3
432,2,432,1
432,2,446,1
432,2,1295,3
432,3,0,4
432,3,5,5
432,3,12,5
432,3,14,2
432,3,17,21
432,3,84,1
432,3,1295,2
434,0,434,3
434,0,1295,2
434,1,2,3
434,1,434,1
434,1,446,1
434,2,0,1
434,2,12,1
434,2,1295,1
434,3,84,1
434,3,432,1
434,3,1295,2
444,0,432,1
444,0,444,7
444,0,1295,12
444,1,0,6
444,1,12,5
444,1,432,5
444,1,444,10
444,1,446,2
444,2,74,2
444,2,84,1
444,2,86,2
444,2,432,1
444,2,1295,13
444,3,5,1
444,3,17,16
444,3,1295,1
446,0,434,1
446,0,446,2
446,0,1295,1
446,1,12,1
446,1,446,1
446,2,72,1
446,2,1295,1
446,3,1295,2
612,0,1295,1
612,1,612,1
612,2,180,1
612,2,188,1
612,3,197,1
614,2,1295,1
624,0,444,1
624,0,1295,1
624,1,624,2
624,2,1295,1
690,0,762,5
690,1,1295,1
690,2,1295,1
690,3,18,2
690,3,20,1
693,1,1295,1
702,0,342,1
702,0,702,1
702,1,690,1
702,1,1295,1
702,2,693,1
702,2,777,1
702,3,18,1
705,1,1295,1
762,0,330,4
762,1,690,4
762,1,834,1
762,2,1295,1
762,3,18,4
774,0,342,1
774,1,702,1
774,2,345,1
774,2,705,1
777,3,702,1
834,0,330,1
834,1,834,1
834,2,1295,1
1080,0,1080,33
1080,0,1092,1
1080,0,1295,1
1080,1,0,12
1080,1,2,2
1080,1,12,3
1080,2,1080,41
1080,2,1082,2
1080,2,1086,3
1080,2,1092,13
1080,2,1098,5
1080,2,1152,1
1080,2,1295,1
1080,3,1080,36
1080,3,1082,8
1080,3,1085,24
1080,3,1092,1
1080,3,1152,3
1080,3,1295,1
1082,0,1080,3
1082,0,1082,16
1082,0,1094,2
1082,0,1152,1
1082,1,2,6
1082,2,1080,9
1082,2,1092,2
1082,2,1098,1
1082,2,1152,1
1082,3,1295,3
1085,0,1085,27
1085,0,1097,1
1085,1,5,9
1085,1,17,1
1085,2,1080,11
1085,2,1092,11
1085,2,1152,2
1085,2,1164,1
1085,2,1295,3
1085,3,1085,29
1085,3,1097,3
1086,0,1086,5
1086,0,1088,1
1086,1,6,1
1086,1,18,1
1086,1,20,1
1086,2,1295,2
1086,3,1080,1
1086,3,1295,1
1088,0,1088,1
1088,2,1295,1
1092,0,1080,4
1092,0,1092,12
1092,0,1094,1
1092,0,1295,1
1092,1,12,5
1092,1,14,2
